GAME	DATE	SCORE	PTS	REB	AST	MIN	2M-2A	3M-3A	FG%	1M-1A	1%	OR	DR	REB	AST	STL	TO	BLK	PTS	EFF
	4-Feb-23	W 125-137	33	10	4	28	15-Aug	3-Feb	55.60%	13-Nov	84.60%	2	8	10	4	2	3	0	33	36
@ San Antonio Spurs																				
	6-Feb-23	L 108-97	31	14	3	36	12-May	4-Jan	37.50%	18-19	94.70%	2	12	14	3	0	5	1	31	33
@ New York Knicks																				
	9-Feb-23	L 106-99	28	7	1	39	18-Oct	3-Jan	52.40%	7-May	71.40%	0	7	7	1	2	2	1	28	25
@ Boston Celtics																				
	11-Feb-23	W 119-108	35	11	6	38	14-17	0-1	77.80%	10-Jul	70.00%	2	9	11	6	1	1	2	35	47
vs New York Knicks																				
	12-Feb-23	W 98-101	37	13	2	37	16-Nov	2-Jan	66.70%	13-Dec	92.30%	2	11	13	2	2	3	0	37	44
@ Brooklyn Nets																				
	14-Feb-23	W 123-104	23	6	4	31	12-Jul	2-Jan	57.10%	6-Jun	100.00%	0	6	6	4	1	3	0	23	25
vs Houston Rockets																				
	16-Feb-23	W 118-112	29	14	5	39	19-Sep	0-2	42.90%	12-Nov	91.70%	1	13	14	5	2	2	1	29	36
vs Cleveland Cavaliers																				
	24-Feb-23	W 110-105	27	19	6	39	20-Jul	0-5	28.00%	13-17	76.50%	2	17	19	6	1	2	6	27	35
vs Memphis Grizzlies																				
	26-Feb-23	L 107-110	41	12	5	40	20-Dec	0-1	57.10%	17-18	94.40%	1	11	12	5	0	3	3	41	48
vs Boston Celtics																				
	28-Feb-23	L 99-101	27	12	2	34	16-Oct	0-1	58.80%	7-Jul	100.00%	3	9	12	2	0	6	1	27	29
vs Miami Heat																				
	3-Mar-23	L 133-126	35	8	1	36	13-20	0-1	61.90%	13-Sep	69.20%	4	4	8	1	2	3	0	35	31
@ Dallas Mavericks																				
	5-Mar-23	W 130-133	31	6	10	37	17-Aug	5-Mar	50.00%	10-Jun	60.00%	0	6	6	10	0	1	0	31	31
@ Milwaukee Bucks																				
	7-Mar-23	W 143-147	42	5	3	37	14-Oct	2-Jan	68.80%	19-19	100.00%	1	4	5	3	2	4	1	42	44
@ Indiana Pacers																				
	8-Mar-23	W 94-117	39	7	4	28	18-Sep	4-Apr	59.10%	9-Sep	100.00%	1	6	7	4	1	3	3	39	42
@ Minnesota Timberwolves																				
	11-Mar-23	W 120-119	39	7	4	38	13-19	0-1	65.00%	13-18	72.20%	1	6	7	4	2	4	3	39	39
vs Portland Trail Blazers																				
