GAME	DATE	SCORE	PTS	REB	AST	MIN	2M-2A	3M-3A	FG%	1M-1A	1%	OR	DR	REB	AST	STL	TO	BLK	PTS	EFF
	16-Jan-23	W 119-116	17	10	14	35	7-Jul	4-Jan	72.70%	0-0	-	0	10	10	14	2	4	1	17	37
vs Orlando Magic																				
	18-Jan-23	W 122-113	36	12	10	34	12-Dec	2-Jan	92.90%	10-Sep	90.00%	2	10	12	10	1	4	1	36	54
vs Portland Trail Blazers																				
	19-Jan-23	W 122-118	31	11	13	31	20-Dec	0-0	60.00%	7-Jul	100.00%	4	7	11	13	1	3	0	31	45
vs Minnesota Timberwolves																				
	25-Jan-23	W 98-99	25	11	10	36	11-Sep	4-Feb	73.30%	2-Jan	50.00%	2	9	11	10	1	3	0	25	39
@ New Orleans Pelicans																				
	28-Jan-23	L 126-119	24	8	9	38	10-Jun	2-Feb	66.70%	6-Jun	100.00%	1	7	8	9	0	7	2	24	32
@ Philadelphia 76ers																				
	1-Feb-23	W 122-113	26	18	15	38	11-Sep	3-Jan	71.40%	5-May	100.00%	1	17	18	15	1	5	1	26	52
vs New Orleans Pelicans																				
	3-Feb-23	W 134-117	22	14	16	33	13-Sep	0-0	69.20%	5-Apr	80.00%	2	12	14	16	1	3	1	22	46
vs Golden State Warriors																				
	5-Feb-23	W 128-108	14	18	10	34	7-May	0-1	62.50%	5-Apr	80.00%	3	15	18	10	1	5	2	14	36
vs Atlanta Hawks																				
	8-Feb-23	W 146-112	20	12	16	28	9-Aug	0-1	80.00%	5-Apr	80.00%	1	11	12	16	1	1	1	20	46
vs Minnesota Timberwolves																				
	10-Feb-23	L 115-104	29	12	6	38	14-Jul	5-Mar	52.60%	9-Jun	66.70%	2	10	12	6	1	7	1	29	30
@ Orlando Magic																				
	12-Feb-23	W 105-119	30	16	10	34	22-Nov	0-0	50.00%	9-Aug	88.90%	7	9	16	10	0	4	2	30	42
@ Charlotte Hornets																				
	14-Feb-23	W 108-112	27	12	8	34	14-Dec	0-0	85.70%	3-Mar	100.00%	0	12	12	8	0	0	0	27	45
@ Miami Heat																				
	16-Feb-23	W 118-109	14	13	10	34	9-Jun	0-0	66.70%	3-Feb	66.70%	1	12	13	10	1	5	1	14	30
vs Dallas Mavericks																				
	24-Feb-23	W 109-115	24	18	13	37	11-Jun	2-Feb	61.50%	6-Jun	100.00%	7	11	18	13	2	7	0	24	45
@ Cleveland Cavaliers																				
	26-Feb-23	L 112-94	15	13	3	27	11-Jul	0-0	63.60%	1-Jan	100.00%	3	10	13	3	0	3	0	15	24
@ Memphis Grizzlies																				
	27-Feb-23	W 134-124	40	17	10	42	14-20	0-1	66.70%	15-Dec	80.00%	8	9	17	10	3	1	0	40	59
vs LA Clippers																				
	1-Mar-23	W 112-133	14	11	10	28	11-Jul	0-0	63.60%	0-1	0.00%	5	6	11	10	0	4	0	14	26
@ Houston Rockets																				
	4-Mar-23	W 113-97	18	18	10	35	10-Jul	0-0	70.00%	6-Apr	66.70%	3	15	18	10	0	2	1	18	40
vs Memphis Grizzlies																				
	7-Mar-23	W 118-113	17	13	9	36	7-Apr	1-Jan	62.50%	6-Jun	100.00%	3	10	13	9	0	4	1	17	33
vs Toronto Raptors																				
	9-Mar-23	L 96-117	18	12	8	35	7-Apr	9-Mar	43.80%	4-Jan	25.00%	1	11	12	8	0	5	0	18	21
vs Chicago Bulls																				
	11-Mar-23	L 128-120	37	11	11	39	18-Oct	6-Apr	58.30%	6-May	83.30%	3	8	11	11	3	5	0	37	46
@ San Antonio Spurs																				
